HANDLE	BLOCKNAME	KH_O_SAN	L1	L2
'71D	*U685	S2	2700	3725
'736	*U689	S3	3725	5200
'74F	*U689	S3	3725	5200
'768	*U705	S1	3725	5650
'781	*U685	S2	2700	3725
'79A	*U704	S1	3725	5200
'7B3	*U702	S1	3725	5200
'7CC	*U696	S1	3750	5650
'7E5	*U689	S3	3725	5200
'7FE	*U693	S6	1750	5200
'817	*U698	S5	1750	2700
'830	*U685	S2	2700	3725
'849	*U695	S4	1750	5650
'862	*U705	S1	3725	5650
'87B	*U696	S1	3750	5650
'894	*U689	S3	3725	5200
'8AD	*U693	S6	1750	5200
'8C6	*U698	S5	1750	2700
'8DF	*U685	S2	2700	3725
'8F8	*U701	S7	1750	3700
'911	*U700	S8	3700	3725
'92A	*U703	S10	3725	7650
'98B	*U707	S1	3725	5650
'9A7	*U708	S1	3750	5650
'9C0	*U709	S9	1750	2400
