HANDLE	BLOCKNAME	KH_O_SAN	L1	L2
'2A78D0	*U3726	S1	3750	5650
'2A7920	*U3720	S1	3750	5650
'2A7942	*U3722	S1	3725	5650
'2A7967	*U3714	S1	3725	5650
'2A7A57	*U3686	S1	3725	5650
'2A7A7F	*U3694	S1	3725	7650
'2A7BB9	*U3692	S1	2700	3725
'2A7B97	*U3690	S10	2700	3725
'2A7858	*U3730	S2	2700	3725
'2A78F8	*U3718	S2	2700	3725
'2A7A07	*U3682	S2	3725	5200
'2A7B1F	*U3702	S2	3725	5200
'2A7880	*U3728	S3	3725	5200
'2A78A8	*U3724	S3	3725	5200
'2A798F	*U3716	S3	3725	5200
'2A7AA7	*U3696	S3	3725	5200
'2A7A2F	*U3684	S4	1750	5650
'2A79DF	*U3712	S5	1750	2700
'2A7AF7	*U3700	S5	1750	2700
'2A79B7	*U3710	S6	1750	5200
'2A7ACF	*U3698	S6	1750	5200
'2A7B47	*U3704	S7	1750	3700
'2A7B6F	*U3688	S8	1750	3700
'2A7BE1	*U3706	S9	3700	3725
'2A7C03	*U3708	S9	3750	5650
			1750	2400
